"Recorded Crime Offences Under Reservation (Number) by Type of Offence,"
"Garda Station and Year"

" ","Shankill, D.M.R. Eastern Division",0
" ","Blanchardstown, D.M.R. Western Division",5
" ","Cabra, D.M.R. Western Division",1
" ","Finglas, D.M.R. Western Division",2
" ","Ballyfermot, D.M.R. Western Division",0
" ","Clondalkin, D.M.R. Western Division",0
" ","Rathcoole, D.M.R. Western Division",1
" ","Lucan, D.M.R. Western Division",1
" ","Ronanstown, D.M.R. Western Division",0
"06 ,Robbery, extortion and hijacking offences"
" ","Donnybrook, D.M.R. South Central Division",17
" ","Irishtown, D.M.R. South Central Division",18
" ","Pearse Street, D.M.R. South Central Division",155
" ","Kevin Street, D.M.R. South Central Division",60
" ","Kilmainham, D.M.R. South Central Division",58
" ","Bridewell Dublin, D.M.R. North Central Division",53
" ","Fitzgibbon Street, D.M.R. North Central Division",44
" ","Mountjoy, D.M.R. North Central Division",54
" ","Store Street, D.M.R. North Central Division",89
" ","Balbriggan, D.M.R. Northern Division",18
" ","Garristown, D.M.R. Northern Division",0
" ","Lusk, D.M.R. Northern Division",2
" ","Skerries, D.M.R. Northern Division",4
" ","Ballymun, D.M.R. Northern Division",63
" ","Dublin Airport, D.M.R. Northern Division",2
" ","Santry, D.M.R. Northern Division",53
" ","Coolock, D.M.R. Northern Division",60
" ","Malahide, D.M.R. Northern Division",13
" ","Swords, D.M.R. Northern Division",25
" ","Clontarf, D.M.R. Northern Division",32
" ","Howth, D.M.R. Northern Division",15
" ","Raheny, D.M.R. Northern Division",24
" ","Crumlin, D.M.R. Southern Division",16
" ","Sundrive Road, D.M.R. Southern Division",16
" ","Rathfarnham, D.M.R. Southern Division",22
" ","Tallaght, D.M.R. Southern Division",133
" ","Rathmines, D.M.R. Southern Division",21
" ","Terenure, D.M.R. Southern Division",10
" ","Blackrock, Co Dublin, D.M.R. Eastern Division",6
" ","Dundrum, D.M.R. Eastern Division",23
" ","Cabinteely, D.M.R. Eastern Division",7
" ","Dun Laoghaire, D.M.R. Eastern Division",20
" ","Shankill, D.M.R. Eastern Division",6
" ","Blanchardstown, D.M.R. Western Division",102
" ","Cabra, D.M.R. Western Division",31
" ","Finglas, D.M.R. Western Division",91
" ","Ballyfermot, D.M.R. Western Division",33
" ","Clondalkin, D.M.R. Western Division",50
" ","Rathcoole, D.M.R. Western Division",10
" ","Lucan, D.M.R. Western Division",24
" ","Ronanstown, D.M.R. Western Division",31
"07 ,Burglary and related offences"
" ","Donnybrook, D.M.R. South Central Division",233
" ","Irishtown, D.M.R. South Central Division",184
" ","Pearse Street, D.M.R. South Central Division",442
" ","Kevin Street, D.M.R. South Central Division",200
" ","Kilmainham, D.M.R. South Central Division",139
" ","Bridewell Dublin, D.M.R. North Central Division",174
" ","Fitzgibbon Street, D.M.R. North Central Division",159
" ","Mountjoy, D.M.R. North Central Division",249
" ","Store Street, D.M.R. North Central Division",256
" ","Balbriggan, D.M.R. Northern Division",140
" ","Garristown, D.M.R. Northern Division",24
" ","Lusk, D.M.R. Northern Division",44
" ","Skerries, D.M.R. Northern Division",53
" ","Ballymun, D.M.R. Northern Division",119
" ","Dublin Airport, D.M.R. Northern Division",7
" ","Santry, D.M.R. Northern Division",267
" ","Coolock, D.M.R. Northern Division",207
" ","Malahide, D.M.R. Northern Division",103
" ","Swords, D.M.R. Northern Division",187
" ","Clontarf, D.M.R. Northern Division",242
" ","Howth, D.M.R. Northern Division",81
" ","Raheny, D.M.R. Northern Division",92
" ","Crumlin, D.M.R. Southern Division",176
" ","Sundrive Road, D.M.R. Southern Division",145
" ","Rathfarnham, D.M.R. Southern Division",322
" ","Tallaght, D.M.R. Southern Division",381
" ","Rathmines, D.M.R. Southern Division",158
" ","Terenure, D.M.R. Southern Division",166
" ","Blackrock, Co Dublin, D.M.R. Eastern Division",303
" ","Dundrum, D.M.R. Eastern Division",535
" ","Cabinteely, D.M.R. Eastern Division",289
" ","Dun Laoghaire, D.M.R. Eastern Division",426
" ","Shankill, D.M.R. Eastern Division",161
" ","Blanchardstown, D.M.R. Western Division",535
" ","Cabra, D.M.R. Western Division",79
" ","Finglas, D.M.R. Western Division",190
" ","Ballyfermot, D.M.R. Western Division",88
" ","Clondalkin, D.M.R. Western Division",206
" ","Rathcoole, D.M.R. Western Division",96
" ","Lucan, D.M.R. Western Division",198
" ","Ronanstown, D.M.R. Western Division",143
"08 ,Theft and related offences"
" ","Donnybrook, D.M.R. South Central Division",588
" ","Irishtown, D.M.R. South Central Division",686
" ","Pearse Street, D.M.R. South Central Division",5379
" ","Kevin Street, D.M.R. South Central Division",1306
" ","Kilmainham, D.M.R. South Central Division",699
" ","Bridewell Dublin, D.M.R. North Central Division",777
" ","Fitzgibbon Street, D.M.R. North Central Division",750
" ","Mountjoy, D.M.R. North Central Division",890
" ","Store Street, D.M.R. North Central Division",5295
